Date,GoldPrice
08-17-2023,1915.20
08-16-2023,1928.30
08-15-2023,1935.20
08-14-2023,1944.00
08-11-2023,1946.60
08-10-2023,1948.90
08-09-2023,1950.60
08-08-2023,1959.90
08-07-2023,1970.00
08-04-2023,1939.60
08-03-2023,1932.00
08-02-2023,1937.40
08-01-2023,1940.70
07-31-2023,1970.50
07-28-2023,1960.40
07-27-2023,1945.70
07-26-2023,1970.10
07-25-2023,1963.70
07-24-2023,1962.20
07-21-2023,1966.60
07-20-2023,1970.90
07-19-2023,1980.40
07-18-2023,1980.80
07-17-2023,1956.40
07-14-2023,1964.40
07-13-2023,1963.80
07-12-2023,1961.70
07-11-2023,1937.10
07-10-2023,1931.00
07-07-2023,1932.50
07-06-2023,1915.40
07-05-2023,1927.10
07-03-2023,1929.50
06-30-2023,1929.40
06-29-2023,1917.90
06-28-2023,1922.20
06-27-2023,1923.80
06-26-2023,1933.80
06-23-2023,1929.60
06-22-2023,1923.70
06-21-2023,1944.90
06-20-2023,1947.70
06-16-2023,1971.20
06-15-2023,1970.70
06-14-2023,1968.90
06-13-2023,1958.60
06-12-2023,1969.70
06-09-2023,1977.20
06-08-2023,1978.60
06-07-2023,1958.40
06-06-2023,1965.50
06-05-2023,1958.00
06-02-2023,1952.40
06-01-2023,1978.00
05-31-2023,1963.90
05-30-2023,1958.00
05-26-2023,1944.30
05-25-2023,1943.70
05-24-2023,1964.60
05-23-2023,1974.50
05-22-2023,1977.20
05-19-2023,1981.60
05-18-2023,1959.80
05-17-2023,1984.90
05-16-2023,1993.00
05-15-2023,2022.70
05-12-2023,2019.80
05-11-2023,2020.50
05-10-2023,2037.10
05-09-2023,2042.90
05-08-2023,2033.20
05-05-2023,2024.80
05-04-2023,2055.70
05-03-2023,2037.00
05-02-2023,2023.30
05-01-2023,1992.20
04-28-2023,1999.10
04-27-2023,1999.00
04-26-2023,1996.00
04-25-2023,2004.50
04-24-2023,1999.80
04-21-2023,1990.50
04-20-2023,2019.10
04-19-2023,2007.30
04-18-2023,2019.70
04-17-2023,2007.00
04-14-2023,2015.80
04-13-2023,2055.30
04-12-2023,2024.90
04-11-2023,2019.00
04-10-2023,2003.80
04-06-2023,2026.40
04-05-2023,2020.90
04-04-2023,2022.20
04-03-2023,1983.90
03-31-2023,1969.00
03-30-2023,1980.30
03-29-2023,1966.90
03-28-2023,1973.50
03-27-2023,1953.80
03-24-2023,1983.80
03-23-2023,1995.90
03-22-2023,1949.60
03-21-2023,1941.10
03-20-2023,1999.70
03-17-2023,1990.20
03-16-2023,1923.00
03-15-2023,1931.30
03-14-2023,1910.90
03-13-2023,1916.50
03-10-2023,1867.20
03-09-2023,1834.60
03-08-2023,1818.60
03-07-2023,1820.00
03-06-2023,1852.40
03-03-2023,1854.60
03-02-2023,1840.50
03-01-2023,1845.40
02-28-2023,1836.70
02-27-2023,1824.90
02-24-2023,1817.10
02-23-2023,1826.80
02-22-2023,1841.50
02-21-2023,1842.50
02-17-2023,1850.20
02-16-2023,1851.80
02-15-2023,1845.30
02-14-2023,1865.40
02-13-2023,1863.50
02-10-2023,1874.50
02-09-2023,1878.50
02-08-2023,1890.70
02-07-2023,1884.80
02-06-2023,1879.50
02-03-2023,1876.60
02-02-2023,1930.80
02-01-2023,1942.80
01-31-2023,1945.30
01-30-2023,1939.20
01-27-2023,1945.60
01-26-2023,1946.70
01-25-2023,1959.40
01-24-2023,1952.20
01-23-2023,1945.40
01-20-2023,1928.20
01-19-2023,1923.90
01-18-2023,1907.00
01-17-2023,1909.90
01-13-2023,1921.70
01-12-2023,1898.80
01-11-2023,1878.90
01-10-2023,1876.50
01-09-2023,1877.80
01-06-2023,1869.70
01-05-2023,1840.60
01-04-2023,1859.00
01-03-2023,1846.10
12-30-2022,1826.20
12-29-2022,1826.00
12-28-2022,1815.80
12-27-2022,1823.10
12-23-2022,1804.20
12-22-2022,1795.30
12-21-2022,1823.90
12-20-2022,1825.40
12-19-2022,1797.70
12-16-2022,1800.20
12-15-2022,1787.80
12-14-2022,1818.70
12-13-2022,1825.50
12-12-2022,1792.30
12-09-2022,1810.70
12-08-2022,1801.50
12-07-2022,1798.00
12-06-2022,1782.40
12-05-2022,1781.30
12-02-2022,1809.60
12-01-2022,1815.20
11-30-2022,1759.90
11-29-2022,1763.70
11-28-2022,1755.30
11-25-2022,1768.80
11-23-2022,1760.40
11-22-2022,1754.80
11-21-2022,1754.60
11-18-2022,1769.00
11-17-2022,1763.00
11-16-2022,1775.80
11-15-2022,1774.70
11-14-2022,1774.20
11-11-2022,1774.20
11-10-2022,1753.70
11-09-2022,1715.80
11-08-2022,1716.00
11-07-2022,1680.50
11-04-2022,1685.70
11-03-2022,1637.70
11-02-2022,1651.00
11-01-2022,1636.40
10-31-2022,1648.30
10-28-2022,1648.30
10-27-2022,1668.80
10-26-2022,1669.20
10-25-2022,1658.00
10-24-2022,1654.10
10-21-2022,1656.30
10-20-2022,1636.80
10-19-2022,1634.20
10-18-2022,1655.50
10-17-2022,1664.00
10-14-2022,1672.90
10-13-2022,1672.90
10-12-2022,1677.50
10-11-2022,1686.00
10-10-2022,1675.20
10-07-2022,1709.30
10-06-2022,1720.90
10-05-2022,1720.80
10-04-2022,1730.50
10-03-2022,1702.00
09-30-2022,1672.00
09-29-2022,1668.60
09-28-2022,1670.00
09-27-2022,1636.20
09-26-2022,1633.40
09-23-2022,1655.60
09-22-2022,1681.10
09-21-2022,1675.70
09-20-2022,1671.10
09-19-2022,1678.20
09-16-2022,1683.50
09-15-2022,1677.30
09-14-2022,1709.10
09-13-2022,1717.40
09-12-2022,1740.60
09-09-2022,1728.60
09-08-2022,1720.20
09-07-2022,1727.80
09-06-2022,1712.90
09-02-2022,1722.60
09-01-2022,1709.30
08-31-2022,1726.20
08-30-2022,1736.30
08-29-2022,1749.70
08-26-2022,1749.80
08-25-2022,1771.40
08-24-2022,1761.50
08-23-2022,1761.20
08-22-2022,1748.40
08-19-2022,1762.90
08-18-2022,1771.20
08-17-2022,1776.70
08-16-2022,1789.70
08-15-2022,1798.10
08-12-2022,1815.50
08-11-2022,1807.20
08-10-2022,1813.70
08-09-2022,1812.30
08-08-2022,1805.20
08-05-2022,1791.20
08-04-2022,1806.90
08-03-2022,1776.40
08-02-2022,1789.70
08-01-2022,1787.70
07-29-2022,1781.80
07-28-2022,1769.20
07-27-2022,1737.50
07-26-2022,1735.70
07-25-2022,1737.10
07-22-2022,1745.30
07-21-2022,1731.30
07-20-2022,1717.70
07-19-2022,1728.10
07-18-2022,1710.20
07-15-2022,1703.60
07-14-2022,1705.80
07-13-2022,1735.50
07-12-2022,1724.80
07-11-2022,1731.70
07-08-2022,1742.30
07-07-2022,1739.70
07-06-2022,1736.50
07-05-2022,1763.90
07-01-2022,1801.50
06-30-2022,1807.30
06-29-2022,1817.50
06-28-2022,1821.20
06-27-2022,1824.80
06-24-2022,1830.30
06-23-2022,1829.80
06-22-2022,1838.40
06-21-2022,1838.80
06-17-2022,1840.60
06-16-2022,1849.90
06-15-2022,1819.60
06-14-2022,1813.50
06-13-2022,1831.80
06-10-2022,1875.50
06-09-2022,1852.80
06-08-2022,1856.50
06-07-2022,1852.10
06-06-2022,1843.70
06-03-2022,1850.20
06-02-2022,1871.40
06-01-2022,1848.70
05-31-2022,1848.40
05-27-2022,1857.30
05-26-2022,1853.90
05-25-2022,1852.50
05-24-2022,1871.40
05-23-2022,1853.90
05-20-2022,1848.40
05-19-2022,1847.80
05-18-2022,1822.40
