Year,Unemp,Infla
1958,5.8,3.2
1958,6.4,3.2
1958,6.7,2.8
1958,7.4,2.4
1958,7.4,2.4
1958,7.3,2.1
1958,7.5,2.4
1958,7.4,2.1
1958,7.1,1.7
1958,6.7,1.7
1958,6.2,1.7
1958,6.2,1.7
1959,6,1.7
1959,5.9,1.7
1959,5.6,1.7
1959,5.2,1.7
1959,5.1,2.0
1959,5,2.0
1959,5.1,2.0
1959,5.2,2.0
1959,5.5,2.4
1959,5.7,2.7
1959,5.8,2.0
1959,5.3,2.0
1960,5.2,2.0
1960,4.8,2.3
1960,5.4,2.0
1960,5.2,2.0
1960,5.1,1.7
1960,5.4,1.7
1960,5.5,1.3
1960,5.6,1.3
1960,5.5,1.0
1960,6.1,1.0
1960,6.1,1.0
1960,6.6,1.0
1961,6.6,1.0
1961,6.9,0.7
1961,6.9,0.7
1961,7,1.0
1961,7.1,1.0
1961,6.9,1.0
1961,7,1.3
1961,6.6,1.3
1961,6.7,1.6
1961,6.5,1.3
1961,6.1,1.3
1961,6,1.3
1962,5.8,1.3
1962,5.5,1.3
1962,5.6,1.6
1962,5.6,1.3
1962,5.5,1.6
1962,5.5,1.6
1962,5.4,1.3
1962,5.7,1.3
1962,5.6,1.3
1962,5.4,1.3
1962,5.7,1.3
1962,5.5,1.3
1963,5.7,1.0
1963,5.9,1.0
1963,5.7,1.0
1963,5.7,1.3
1963,5.9,1.0
1963,5.6,1.3
1963,5.6,1.3
1963,5.4,1.6
1963,5.5,1.3
1963,5.5,1.3
1963,5.7,1.6
1963,5.5,1.6
1964,5.6,1.9
1964,5.4,1.9
1964,5.4,1.9
1964,5.3,1.6
1964,5.1,1.6
1964,5.2,1.6
1964,4.9,1.6
1964,5,0.9
1964,5.1,1.3
1964,5.1,1.3
1964,4.8,1.2
1964,5,1.2
1965,4.9,1.6
1965,5.1,1.6
1965,4.7,1.2
1965,4.8,1.6
1965,4.6,1.6
1965,4.6,1.2
1965,4.4,1.2
1965,4.4,1.6
1965,4.3,1.5
1965,4.2,1.5
